"Nation ID","Nation","State ID","State","Municipality ID","Municipality","GINI","Population"
"mex","México",19,"Nuevo León",19001,"Abasolo",0.39608949422836304,2639
"mex","México",19,"Nuevo León",19002,"Agualeguas",0.4282120019197464,2439
"mex","México",19,"Nuevo León",19003,"Los Aldamas",0.43546900153160095,1292
"mex","México",19,"Nuevo León",19004,"Allende",0.3405584990978241,34353
"mex","México",19,"Nuevo León",19005,"Anáhuac",0.38375499844551086,18194
"mex","México",19,"Nuevo León",19006,"Apodaca",0.32352350652217865,597207
"mex","México",19,"Nuevo León",19007,"Aramberri",0.46362200379371643,16152
"mex","México",19,"Nuevo León",19008,"Bustamante",0.3342664986848831,3977
"mex","México",19,"Nuevo León",19009,"Cadereyta Jiménez",0.3680734932422638,95534
"mex","México",19,"Nuevo León",19010,"El Carmen",0.3395240008831024,38306
"mex","México",19,"Nuevo León",19011,"Cerralvo",0.3559134900569916,7757
"mex","México",19,"Nuevo León",19012,"Ciénega de Flores",0.31255699694156647,42715
"mex","México",19,"Nuevo León",19013,"China",0.36139699816703796,10835
"mex","México",19,"Nuevo León",19014,"Doctor Arroyo",0.4903104901313782,34110
"mex","México",19,"Nuevo León",19015,"Doctor Coss",0.41352300345897675,1632
"mex","México",19,"Nuevo León",19016,"Doctor González",0.4344000071287155,2861
"mex","México",19,"Nuevo León",19017,"Galeana",0.47390249371528625,41130
"mex","México",19,"Nuevo León",19018,"García",0.34960000216960907,247370
"mex","México",19,"Nuevo León",19019,"San Pedro Garza García",0.3630619943141937,123156
"mex","México",19,"Nuevo León",19020,"General Bravo",0.39313800632953644,5479
"mex","México",19,"Nuevo León",19021,"General Escobedo",0.37177449464797974,425148
"mex","México",19,"Nuevo León",19022,"General Terán",0.4040919989347458,14795
"mex","México",19,"Nuevo León",19023,"General Treviño",0.4132149964570999,1044
"mex","México",19,"Nuevo León",19024,"General Zaragoza",0.44894200563430786,6011
"mex","México",19,"Nuevo León",19025,"General Zuazua",0.3067544996738434,67294
"mex","México",19,"Nuevo León",19026,"Guadalupe",0.3605865091085434,682880
"mex","México",19,"Nuevo León",19027,"Los Herreras",0.4398624897003174,1764
"mex","México",19,"Nuevo León",19028,"Higueras",0.41031549870967865,1511
"mex","México",19,"Nuevo León",19029,"Hualahuises",0.3820144981145859,6921
"mex","México",19,"Nuevo León",19030,"Iturbide",0.4339814931154251,3571
"mex","México",19,"Nuevo León",19031,"Juárez",0.33611099421977997,333481
"mex","México",19,"Nuevo León",19032,"Lampazos de Naranjo",0.35016100108623505,5238
"mex","México",19,"Nuevo León",19033,"Linares",0.3800494968891144,79853
"mex","México",19,"Nuevo León",19034,"Marín",0.36542950570583344,5630
"mex","México",19,"Nuevo León",19035,"Melchor Ocampo",0.42885400354862213,955
"mex","México",19,"Nuevo León",19036,"Mier y Noriega",0.43868349492549896,6996
"mex","México",19,"Nuevo León",19037,"Mina",0.3676680028438568,5326
"mex","México",19,"Nuevo León",19038,"Montemorelos",0.36404699087142944,60829
"mex","México",19,"Nuevo León",19039,"Monterrey",0.38700999319553375,1109171
"mex","México",19,"Nuevo León",19040,"Parás",0.4421220123767853,971
"mex","México",19,"Nuevo León",19041,"Pesquería",0.3461969941854477,87168
"mex","México",19,"Nuevo León",19042,"Los Ramones",0.4165000021457672,4469
"mex","México",19,"Nuevo León",19043,"Rayones",0.4358984977006912,2640
"mex","México",19,"Nuevo León",19044,"Sabinas Hidalgo",0.36612948775291443,35456
"mex","México",19,"Nuevo León",19045,"Salinas Victoria",0.35779400169849396,54192
"mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",0.33596399426460266,430143
"mex","México",19,"Nuevo León",19047,"Hidalgo",0.35069701075553894,13836
"mex","México",19,"Nuevo León",19048,"Santa Catarina",0.34813249111175537,296954
"mex","México",19,"Nuevo León",19049,"Santiago",0.349869504570961,42407
"mex","México",19,"Nuevo León",19050,"Vallecillo",0.4288244992494583,1632
"mex","México",19,"Nuevo León",19051,"Villaldama",0.3905095010995865,4080