MUNICIPIO,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PANAL,PES,RSP,FXM,CI_1,CI_2,C_PRI_PRD,C_PVEM_PT_MORENA_PANAL,C_PVEM_PT_MORENA,C_PVEM_PT_PANAL,C_PVEM_MORENA_PANAL,C_PT_MORENA_PANAL,C_PVEM_PT,C_PVEM_MORENA,C_PVEM_PANAL,C_PT_MORENA,C_PT_PANAL,C_MORENA_PANAL,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,CONTABILIZADA
Abasolo,0.0,0.0,0.0,0.0,544,31,0,514,123,426,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.0,2018,2512,48,4
Agualeguas,0.0,0.0,0.0,0.0,1795,128,4,2,0,806,80,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0.0,2866,4147,120,10
Allende,0.0,0.0,0.0,0.0,3417,5947,28,145,124,1251,618,207,0,1181,0,0,0,20,14,2,4,0,1,0,3,2,1,3,4,1,232,0.0,13205,28919,576,48
Anahuac,0.0,0.0,0.0,0.0,635,4775,0,51,0,91,442,0,0,0,0,2740,0,0,0,0,0,0,0,0,0,0,0,0,0,1,229,0.0,8964,14822,336,28
Apodaca,58540.0,0.0,0.0,0.0,22136,141171,3525,1863,1722,21375,20008,895,1107,628,913,0,0,1009,239,110,19,25,23,34,94,10,147,18,30,57,3336,0.0,220494,440894,8820,735
Aramberri,0.0,0.0,0.0,0.0,3457,5026,15,18,1126,22,131,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,2,216,0.0,10057,12646,336,28
Bustamante,0.0,0.0,0.0,0.0,913,575,6,35,10,15,83,22,0,834,104,0,0,3,4,0,0,0,0,1,2,0,0,0,1,12,33,0.0,2653,3354,60,5
Cadereyta Jimenez,8163.0,0.0,0.0,0.0,15394,9194,236,3977,272,1656,2452,149,426,729,2463,0,0,0,118,27,10,15,1,19,55,11,10,1,20,14,858,0.0,38107,85414,1788,149
Cerralvo,0.0,0.0,0.0,0.0,2333,228,5,0,18,51,1586,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,71,0.0,4313,6900,144,12
China,0.0,0.0,0.0,0.0,82,1694,19,103,53,145,175,1775,0,0,0,2040,0,32,139,6,11,13,22,2,4,22,5,13,50,0,255,0.0,6660,9977,228,19
Cienega de Flores,17131.0,0.0,0.0,0.0,4443,1422,207,5812,152,580,1027,92,0,59,837,0,0,51,80,21,6,7,0,19,47,22,6,7,0,1,270,0.0,15168,39601,744,62
Dr. Arroyo,0.0,0.0,0.0,0.0,1054,13156,32,144,0,348,6614,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,504,0.0,22052,29832,672,56
Dr. Coss,0.0,0.0,0.0,0.0,83,778,0,8,0,9,0,833,0,48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0,1788,2725,72,6
Dr. Gonzalez,0.0,0.0,0.0,0.0,222,887,19,40,598,25,0,510,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,47,0.0,2354,3273,84,7
El Carmen,0.0,0.0,0.0,0.0,3850,1301,55,2527,828,1002,1248,129,0,0,54,382,0,35,362,35,9,4,4,33,16,7,20,8,2,0,243,0.0,12154,32600,564,47
Galeana,0.0,0.0,0.0,0.0,2481,8768,31,6999,494,301,0,0,0,20,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,2,531,0.0,19670,31230,768,64
Garcia,124853.0,0.0,0.0,0.0,8010,7533,464,1115,1339,10274,9860,577,983,1117,884,17196,10955,74,80,40,2,14,16,18,24,7,48,1,20,42,1884,0.0,72577,199018,3984,332
Gral. Bravo,0.0,0.0,0.0,0.0,1914,1691,5,21,0,14,0,31,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,58,0.0,3758,5852,120,10
Gral. Escobedo,163238.0,0.0,0.0,0.0,36911,23485,1105,5194,3736,28827,29386,1947,0,1097,1309,0,0,274,608,199,47,86,51,84,193,33,197,20,74,32,2712,0.0,137607,321812,6108,509
Gral. Teran,0.0,0.0,0.0,0.0,0,2985,32,72,49,3235,240,104,0,640,29,0,0,46,8,1,0,1,0,2,1,3,3,1,3,2,173,0.0,7630,13304,276,23
Gral. Trevino,0.0,0.0,0.0,0.0,893,600,0,0,0,0,3,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0.0,1523,2097,48,4
Gral. Zaragoza,0.0,0.0,0.0,0.0,327,1804,16,10,1887,0,21,6,0,17,0,0,0,35,36,1,14,0,1,21,0,0,20,4,0,0,74,0.0,4294,5463,132,11
Gral. Zuazua,8829.0,0.0,0.0,0.0,3052,3313,165,458,2399,1343,2419,117,731,4844,259,0,0,105,81,24,6,4,14,12,4,2,68,4,6,3,378,0.0,19811,46179,972,81
Guadalupe,98983.0,0.0,0.0,0.0,83348,83441,2363,8490,5670,48502,41389,3626,1944,1065,1569,0,0,1021,519,283,76,126,95,89,224,54,294,25,111,95,5665,0.0,290084,551656,10656,888
Hidalgo,0.0,0.0,0.0,0.0,1206,229,738,643,29,2016,0,313,57,733,256,1738,0,0,0,0,0,0,0,0,0,0,0,0,0,1,195,0.0,8154,13163,264,22
Higueras,0.0,0.0,0.0,0.0,752,5,459,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,1236,1475,36,3
Hualahuises,0.0,0.0,0.0,0.0,70,2011,9,5,70,0,0,17,0,13,0,1985,0,15,0,0,0,0,0,0,0,0,0,0,0,0,85,0.0,4280,6307,156,13
Iturbide,0.0,0.0,0.0,0.0,1238,1568,1,1,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,27,0.0,2856,3243,84,7
Juarez,0.0,0.0,0.0,0.0,21984,36159,659,2470,952,20247,12573,751,690,276,1021,0,0,499,88,56,13,16,11,11,66,9,36,8,19,45,1783,0.0,100442,251782,5088,424
Lampazos de Naranjo,0.0,0.0,0.0,0.0,2672,128,2,16,0,108,702,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,47,0.0,3677,4921,108,9
Linares,22535.0,0.0,0.0,0.0,9921,5307,93,327,522,2671,4151,500,0,250,0,6480,0,48,37,9,10,7,10,8,16,12,34,8,38,8,890,0.0,31357,66567,1368,114
Los Aldamas,0.0,0.0,0.0,0.0,6,563,9,5,7,647,6,66,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,42,0.0,1363,2076,60,5
Los Herreras,0.0,0.0,0.0,0.0,209,711,6,877,0,81,0,156,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,0.0,2086,2902,72,6
Los Ramones,0.0,0.0,0.0,0.0,1174,354,7,0,0,0,22,1255,0,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,72,0.0,2987,5372,156,13
Marin,0.0,0.0,0.0,0.0,594,301,2,2234,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,41,0.0,3187,4984,108,9
Melchor Ocampo,0.0,0.0,0.0,0.0,392,9,0,30,18,110,21,805,0,0,0,0,0,0,11,0,3,2,5,0,0,11,0,4,19,0,36,0.0,1476,1937,48,4
Mier y Noriega,0.0,0.0,0.0,0.0,1287,366,3,1192,9,843,1077,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,101,0.0,4880,6482,156,13
Mina,0.0,0.0,0.0,0.0,282,1940,10,1053,0,0,0,3,0,0,0,160,0,5,0,0,0,0,0,0,0,0,0,0,0,0,41,0.0,3494,4944,132,11
Montemorelos,0.0,0.0,0.0,0.0,3618,8963,127,344,1485,3820,3942,235,0,155,146,934,0,68,86,19,10,8,10,10,17,8,36,5,16,3,575,0.0,24640,54852,1176,98
Monterrey,149297.0,0.0,0.0,0.0,43211,166156,3240,3388,9516,254541,38005,1951,1362,1909,1373,1785,0,1562,391,262,55,51,59,109,121,32,396,48,81,193,9144,0.0,538941,963019,19716,1643
Paras,0.0,0.0,0.0,0.0,852,723,4,5,5,0,15,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,21,0.0,1630,2008,48,4
Pesqueria,13207.0,0.0,0.0,0.0,10904,3016,179,883,1172,1858,4202,174,0,178,0,0,0,61,95,26,11,7,4,14,21,2,31,3,11,7,462,0.0,23321,70795,1320,110
Rayones,0.0,0.0,0.0,0.0,1775,201,2,27,29,17,292,28,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,1,0,48,0.0,2426,3110,84,7
Sabinas Hidalgo,0.0,0.0,0.0,0.0,4990,777,16,1229,64,8400,378,37,0,566,26,0,0,8,5,9,3,2,0,5,16,4,2,0,0,2,275,0.0,16814,29104,612,51
Salinas Victoria,11377.0,0.0,0.0,0.0,6247,4069,76,168,153,8136,1758,97,0,111,715,456,0,48,63,9,1,4,3,6,5,2,8,0,3,9,445,0.0,22592,48612,924,77
San Nicolas de los Garza,29063.0,0.0,0.0,0.0,118241,20258,1131,2438,1865,30999,22821,1264,0,578,1431,1825,0,295,303,135,10,19,24,38,38,21,102,12,69,141,3209,0.0,207267,367121,7404,617
San Pedro Garza Garcia,10925.0,0.0,0.0,0.0,24300,2222,67,180,112,2018,1344,95,0,43,93,41862,0,14,4,1,1,1,0,2,5,1,5,0,1,5,936,0.0,73312,107652,2112,176
Santa Catarina,7945.0,0.0,0.0,0.0,54666,10700,409,1684,966,16821,11894,1025,645,1252,2223,0,0,77,115,39,3,13,9,21,40,5,46,5,20,62,2211,0.0,104951,225939,4164,347
Santiago,0.0,0.0,0.0,0.0,3707,9056,140,756,1568,713,1944,198,128,41,0,6296,0,67,34,11,2,2,1,11,2,2,18,3,3,0,453,0.0,25156,40354,828,69
Vallecillo,0.0,0.0,0.0,0.0,38,656,15,16,863,0,45,0,0,0,0,0,0,8,5,3,3,0,1,3,0,0,3,3,0,0,20,0.0,1682,2334,72,6
Villaldama,0.0,0.0,0.0,0.0,889,81,2,1086,1,984,14,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,37,0.0,3101,3883,84,7
